Using device: cuda
Scrambled cube:    DRR
   UUD
   LDB
BFFUFLULFDUL
ULDRFRBRFLBB
FDDRLFUFBRUL
   BBR
   BDR
   DLU

Scrambled cube: D U' D D' R D' F' D' R' L' F B' U R D B' U B' 
Solving...
Generation 1: Best Fitness = -10.652382850646973, Best Solution = U R D' R' R' B' R' B R' U' L' L' U L U D' L' R' F R U' L D' R 
Generation 45: Best Fitness = -10.163283348083496, Best Solution = B U' B' F B' B' U R D B' R' , Temperature = 9.94402569870922
Generation 46: Best Fitness = -10.477765083312988, Best Solution = L' L' B U' , Temperature = 9.44682441377376
Generation 47: Best Fitness = -9.932722091674805, Best Solution = B L U' B D' , Temperature = 8.97448319308507
Generation 48: Best Fitness = -10.587763786315918, Best Solution = B U' , Temperature = 8.525759033430816
Generation 49: Best Fitness = -10.587763786315918, Best Solution = B U' , Temperature = 8.099471081759274
Generation 50: Best Fitness = -10.587763786315918, Best Solution = B U' , Temperature = 7.69449752767131
Generation 51: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 7.309772651287744
Generation 52: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 6.944284018723357
Generation 53: Best Fitness = -10.357853889465332, Best Solution = B U' F B , Temperature = 6.5970698177871885
Generation 54: Best Fitness = -10.094654083251953, Best Solution = D' D' R F' B U R R U' U' , Temperature = 6.267216326897829
Generation 55: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 5.953855510552938
Generation 56: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 5.6561627350252905
Generation 57: Best Fitness = -10.534828186035156, Best Solution = F R' F' , Temperature = 5.373354598274026
Generation 58: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 5.104686868360324
Generation 59: Best Fitness = -10.324056625366211, Best Solution = L D' U' B L' R , Temperature = 4.849452524942308
Generation 60: Best Fitness = -10.215492248535156, Best Solution = B U' B' F D L F F , Temperature = 4.606979898695192
Generation 61: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 4.376630903760432
Generation 62: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 4.157799358572411
Generation 63: Best Fitness = -10.357853889465332, Best Solution = B U' F B , Temperature = 3.94990939064379
Generation 64: Best Fitness = -10.407679557800293, Best Solution = U F' U R' U D' L' B , Temperature = 3.7524139211116005
Generation 65: Best Fitness = -10.257155418395996, Best Solution = B L U' L' , Temperature = 3.5647932250560204
Generation 66: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 3.3865535638032194
Generation 67: Best Fitness = -9.994522094726562, Best Solution = B U' F , Temperature = 3.2172258856130584
Generation 68: Best Fitness = -10.151440620422363, Best Solution = B U' L' D' , Temperature = 3.0563645913324056
Generation 69: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 2.9035463617657853
Generation 70: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 2.758369043677496
Generation 71: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 2.620450591493621
Generation 72: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 2.48942806191894
Generation 73: Best Fitness = -9.36369514465332, Best Solution = B U' B D' U' , Temperature = 2.364956658822993
Generation 74: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 2.2467088258818433
Generation 75: Best Fitness = -9.400321006774902, Best Solution = B U' B D' L R' U' , Temperature = 2.134373384587751
Generation 76: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 2.0276547153583633
Generation 77: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 1.926271979590445
Generation 78: Best Fitness = -9.306461334228516, Best Solution = B U' B B L , Temperature = 1.8299583806109228
Generation 79: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 1.7384604615803765
Generation 80: Best Fitness = -9.36369514465332, Best Solution = B U' B D' U' , Temperature = 1.6515374385013575
Generation 81: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 1.5689605665762896
Generation 82: Best Fitness = -9.301861763000488, Best Solution = B U' B B R' , Temperature = 1.490512538247475
Generation 83: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 1.4159869113351014
Generation 84: Best Fitness = -9.306461334228516, Best Solution = B U' B B L , Temperature = 1.3451875657683463
Generation 85: Best Fitness = -9.580147743225098, Best Solution = B U' B , Temperature = 1.2779281874799289
Generation 86: Best Fitness = -9.273024559020996, Best Solution = B U' B D' F' , Temperature = 1.2140317781059324
Generation 87: Best Fitness = -9.155374526977539, Best Solution = B U' B D' B , Temperature = 1.1533301892006358
Generation 88: Best Fitness = -9.155374526977539, Best Solution = B U' B D' B , Temperature = 1.0956636797406039
Generation 89: Best Fitness = -9.155374526977539, Best Solution = B U' B D' B , Temperature = 1.0408804957535736
Generation 90: Best Fitness = -9.155374526977539, Best Solution = B U' B D' B , Temperature = 0.9888364709658948
Generation 91: Best Fitness = -9.027098655700684, Best Solution = B U' B D' R' B F' , Temperature = 0.9393946474176
Generation 92: Best Fitness = -8.990693092346191, Best Solution = B U' B D' D' L , Temperature = 0.89242491504672
Generation 93: Best Fitness = -8.990693092346191, Best Solution = B U' B D' D' L , Temperature = 0.8478036692943839
Generation 94: Best Fitness = -8.990693092346191, Best Solution = B U' B D' D' L , Temperature = 0.8054134858296647
Generation 95: Best Fitness = -8.990693092346191, Best Solution = B U' B D' D' L , Temperature = 0.7651428115381814
Generation 96: Best Fitness = -8.990693092346191, Best Solution = B U' B D' D' L , Temperature = 0.7268856709612723
Generation 97: Best Fitness = -8.66076374053955, Best Solution = B U' B D' B L , Temperature = 0.6905413874132087
Generation 98: Best Fitness = -8.66076374053955, Best Solution = B U' B D' B L , Temperature = 0.6560143180425483
Generation 99: Best Fitness = -8.66076374053955, Best Solution = B U' B D' B L , Temperature = 0.6232136021404209
Generation 100: Best Fitness = -8.66076374053955, Best Solution = B U' B D' B L , Temperature = 0.5920529220333998
Generation 101: Best Fitness = -8.66076374053955, Best Solution = B U' B D' B L , Temperature = 0.5624502759317298
Generation 102: Best Fitness = -8.66076374053955, Best Solution = B U' B D' B L , Temperature = 0.5343277621351433
Generation 103: Best Fitness = -8.66076374053955, Best Solution = B U' B D' B L , Temperature = 0.5076113740283862
Generation 104: Best Fitness = -8.355231285095215, Best Solution = B U' B D' D' R' , Temperature = 0.4822308053269668
Generation 105: Best Fitness = -8.355231285095215, Best Solution = B U' B D' D' R' , Temperature = 0.45811926506061845
Generation 106: Best Fitness = -8.355231285095215, Best Solution = B U' B D' D' R' , Temperature = 0.4352133018075875
Generation 107: Best Fitness = -8.355231285095215, Best Solution = B U' B D' D' R' , Temperature = 0.4134526367172081
Generation 108: Best Fitness = -8.355231285095215, Best Solution = B U' B D' D' R' , Temperature = 0.3927800048813477
Generation 109: Best Fitness = -8.355231285095215, Best Solution = B U' B D' D' R' , Temperature = 0.3731410046372803
Generation 110: Best Fitness = -8.355231285095215, Best Solution = B U' B D' D' R' , Temperature = 0.35448395440541625
Generation 111: Best Fitness = -8.355231285095215, Best Solution = B U' B D' D' R' , Temperature = 0.3367597566851454
Generation 112: Best Fitness = -8.355231285095215, Best Solution = B U' B D' D' R' , Temperature = 0.31992176885088813
Generation 113: Best Fitness = -8.15732479095459, Best Solution = B U' B D' R' F' , Temperature = 0.3039256804083437
Generation 114: Best Fitness = -8.15732479095459, Best Solution = B U' B D' R' F' , Temperature = 0.28872939638792655
Generation 115: Best Fitness = -8.15732479095459, Best Solution = B U' B D' R' F' , Temperature = 0.2742929265685302
Generation 116: Best Fitness = -8.15732479095459, Best Solution = B U' B D' R' F' , Temperature = 0.2605782802401037
Generation 117: Best Fitness = -8.15732479095459, Best Solution = B U' B D' R' F' , Temperature = 0.2475493662280985
Generation 118: Best Fitness = -8.15732479095459, Best Solution = B U' B D' R' F' , Temperature = 0.23517189791669357
Generation 119: Best Fitness = -8.15732479095459, Best Solution = B U' B D' R' F' , Temperature = 0.22341330302085888
Generation 120: Best Fitness = -8.15732479095459, Best Solution = B U' B D' R' F' , Temperature = 0.21224263786981593
Generation 121: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.20163050597632512
Generation 122: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.19154898067750886
Generation 123: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.18197153164363342
Generation 124: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.17287295506145173
Generation 125: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.16422930730837915
Generation 126: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.15601784194296017
Generation 127: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.14821694984581216
Generation 128: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.14080610235352153
Generation 129: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.13376579723584545
Generation 130: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.12707750737405316
Generation 131: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.1207236320053505
Generation 132: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.11468745040508296
Generation 133: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.10895307788482882
Generation 134: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.10350542399058738
Generation 135: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.098330152791058
Generation 136: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.09341364515150509
Generation 137: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.08874296289392983
Generation 138: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.08430581474923333
Generation 139: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.08009052401177166
Generation 140: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.07608599781118308
Generation 141: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.07228169792062393
Generation 142: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.06866761302459273
Generation 143: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.0652342323733631
Generation 144: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.061972520754694935
Generation 145: Best Fitness = -7.05757999420166, Best Solution = B U' B D' R' F' D , Temperature = 0.05887389471696019
